idnum,province,replicat,sample,over,areacode,intdate,intnum,attempts,refusals,contacts,answers,intime,result,rn1,rn2,rn3,rn4,rn5,rn6,rn7,rn8,rn9,rn10,rn11,rn12,rn13,rn14,rsex,nadults,a1,a2,a2a,a2b,a3,a4,a4a,a4b,a6,a6a,a6b,a7,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,c1,c1ab,c2,c2ab,c3,c4,d1a,d1b,d1c,d1d,d1da,d1e,d1ea,d1f,d1fa,d2a,d2b,d2c,d2d,d2e,d2f,d2g,d2h,d2i,d3a,d3b,d3c,d3d,d3e,d3f,d3g,d3h,d4a,d4b,d4c,d4d,d4e,d4f,d4g,d4h,d5a,d5b,d5c,d5d,d5e,d5f,d5g,d5h,d6a,d6b,d6c,d7a,d7b,d7c,d8a,d8b,d8c,d9,d9a,d10a,d10b,d10c,d10d,d10e,d10f,d10g,d11a,d11b,d11c,d11d,d12,d13,d14,d15,e1,e1a,e1b,e2,e2a,e2b,f1a,f1b,f1c,f2a,f2b,f2c,f3,g1,g1ab,g2,g3,g3ab,h1a,h1b,h1c,h1d,h1e,h1f,h1g,h2a,h2b,h2c,h2d,h2e,h2f,h2g,h3,h4a,h4b,h4c,h4d,h4e,h4f,h4g,h5,h5a,i1,i2,i3,i4,j1,j1ab,j2,j2a,j2b,j3,j3a,j3b,j4,k1,k1a,k1b,k1c,k2,k2a,k2b,k2c,l2,l2a1,l2a2,l2a3,l2b1,l2b2,l3,l4a,l4b,l4c,l4d,l5,l6a,l6b,l7,l8,l9,l10,l11,l12,l12a,l13,l14,m1,m2,n1,n2,n3,n4,n5,n6,n7,n8,n8a,n9,n10,n11,n11a,n12,n13,n14,n15,n16,n17,n18,n19,n20,intlang,interest,length,a5a,a5b,a5c,a5d,l1a,l1b,l1c,l1d,xprov,xreplic,xsample,xover,xareacod,xintdate,xintnum,xattempt,xrefusal,xcontact,xanswer,xintime,xresult,xrn1,xrn2,xrn3,xrn4,xrn5,xrn6,xrn7,xrn8,xrn9,xrn10,xrn11,xrn12,xrn13,xrn14,xrsex,xa1,xa2,xa3,xa5a,xa5b,xa6a,xa6b,xa7a,xa7b,xa8a,xa8b,xa9a,xa9b,xb1,xb2,xb2a,xb2b,xb3a,xb3b,xb4,xb4a,xb5,xb5a,xc1,xc2,xc2a,xc3,xc3a,xc4,xc4a,xc5,xc5a,xc5b,xc6,xc6a,xc7,xc7a,xe1a,xe1b,xe1c,xe1d,xe1e,xe1f,xe2a,xe2b,xe2c,xe2d,xe2e,xe2f,xe2g,xe2h,xe2i,xf2,xf3,xf4a,xf4b,xf5,xf6,xf7,xf8,xg1,xg1a,xg1b,xg1c,xg1d,xg2a,xg2b,xg2c,xg2d,xg3a,xg3b,xg3c,xg3d,xh1,xh2,xh3,xh4,xh5,xh6,xh7,xh8,xh9,xh10,xh11,xi1a,xi1b,xi1c,xi2a,xi2b,xi2c,xi3a,xi3b,xi3c,xj1a,xj1b,xj1c,xj2a,xj2b,xj2c,xj2d,xj3a,xj3b,xj3c,xj3d,xj4a,xj4b,xj4c,xj4d,xj5a,xj5b,xj5c,xj6a,xj6b,xj7a,xj7b,xk1,xk2,xk3,xk4,xk5,xk6,xk7,xk8,xk9,xk10,xl1a,xl1b,xl1c,xl2a,xl2b,xl2c,xl2d,xl2e,xl3,xl4,xl5,xl6,xl7,xl8a,xl9a,xl10a,xm1,xm2,xm3,xm4,xn1,xn2,xinteres,xlength,xintlang,xa4a,xa4b,xa4c,xa4d,xf1a,xf1b,xf1c,xf1d,mailid,zintlang,qa1,qa2,qa3,qa4,qa5,qa6,qa7,qa8,qa9,qa10,qa11,qa12,qa13,qb1,qb2,qb3,qb4,qb5,qb6,qb7,qb8,qb9,qb10,qb11,qb12,qb13,qb14,qb15,qb16,qb17,qc1,qc2,qc3,qc4,qc5,qc6,qc7,qc8,qc9,qc10,qc11,qc12,qc13,qc14,qc15,qc16,qc17,qd1,qd2,qd3,qd4,qd5,qd6,qd7,qd8,qe1,qe2,qe3,qe4,qe5,qe6,qe7,qe8,qe9,qe10,qe11,qe12,qe13,qf1,qf2,qf3,qf4,qf5,qf6,qf7,qf8,qf9,qf10,qf11,qg1,qg2,qg3,qg4,qh1,qh2,qh3,qh4,qh5,qh6,qh7,qh8,qh9,qh10,qh11,qh12,zrsex,yrbirth,comments,inpre,inpost,inmail,intype,link,blish81,pinpor81,franco,wt1,wt2,wt3,wt4,wt5,wt6,wt7
1356,9,5,17,0,604,100988,5,2,0,2,2,32,1,1,2,0,2,1,1,1,12,4,8,0,0,3,1,1,2,2,3,1,1,5,4,25,2,,,,2,1,8,8,,,5,,5,,,5,4,5,4,3,5,2,2,2,5,,5,,5,,60,60,55,55,55,50,,,,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,291,,,,2,,,3,,,55,40,50,50,50,40,5,1,2,3,5,,3,3,3,3,3,3,3,3,3,2,3,2,3,3,4,3,4,3,4,3,4,4,5,,4,,5,,3,,3,,,1,1,,3,5,,,,5,,,,3,,,8,,,1,,,1,,3,,1,5,1,1,1,5,3,5,1,3,1,5,1951,1,10,5,1,2143,5,3,1,5,5,5,,2,15,1982,12,3,5,5,4,2,1,3,15,12,14,,,12,,,,9,5,17,0,604,121688,5,5,0,3,5,21,1,1,2,0,2,1,1,1,12,4,8,0,0,3,1,1,2,1,2,1,4,5,,5,,5,,5,,1,9,,,,,1,2,1,2,1,5,,5,,1,7,1,2,3,5,,,,1,1,1,1,3,3,60,50,50,60,55,50,70,998,50,1,3,,8,8,8,5,1,1,2,2,1,2,2,2,2,2,1,1,2,1,50,55,50,50,55,55,60,55,50,55,55,1,2,1,8,8,8,8,8,8,5,5,,5,,,,5,,,,5,,,,5,,,5,,5,,3,1,3,1,1,3,1,1,1,1,3,,1,3,2,2,3,2,1,4,,1,2,3,8,8,291,1,5,1,1951,15,3,10,1,12,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,2,2,71.7,2,2,0.969479840056456,1.05445549509104,,,0.914328858408515,1.05445549509104,
1365,9,5,18,0,604,101488,64,6,0,1,5,31,1,1,1,1,0,0,0,1,16,4,2,2,1,3,0,1,2,3,0,,,5,2,26,4,,,,3,1,8,1,7,,1,1,1,3,,3,,3,,5,1,1,1,2,1,3,1,4,1,2,10,25,10,20,50,10,,,50,2,4,4,2,2,4,4,4,2,2,4,4,4,2,4,4,2,4,4,4,2,2,2,4,,,,,,,2,2,4,1,3,5,1,1,5,5,5,5,,,,,264,1,5,1,2,,,3,,,0,0,100,50,0,0,1,3,,5,5,,4,2,1,4,1,1,4,3,5,1,3,1,5,3,3,3,2,1,1,1,3,4,5,,2,5,,,5,4,3,,,3,,,5,5,,,,5,,,,1,,1,,,,1,3,,,,5,3,,1,5,5,5,1,1,,1,1,5,5,1933,1,5,5,1,8258,5,1,,1,5,2,,7,1,,8,1,3,,7,0,1,3,98,12,,,,12,,,,9,5,18,0,604,122088,23,4,0,1,1,19,1,1,1,1,0,0,0,1,16,4,2,2,1,3,0,1,2,3,2,1,1,1,98,5,,1,2,5,,1,1,5,4,,,3,1,1,2,1,5,,1,1,1,7,5,8,8,5,,,,2,2,3,4,4,4,40,40,30,30,50,20,,,,1,1,3,,1,5,1,5,1,2,5,2,5,2,5,5,5,2,2,5,4,75,50,60,70,50,60,60,80,50,60,50,,,,,,,,,,5,1,3,5,,,,5,,,,1,5,5,,5,,,1,1,5,,1,1,3,3,5,3,5,1,5,5,1,3,,2,3,3,2,3,5,1,3,,,1,1,1,264,1,1,1,1933,1,3,98,1,12,,,,18,,,,1160,1,1,8,2,2,1,1,1,1,1,3,1,2,2,2,2,4,4,4,4,1,1,3,2,2,3,3,3,4,4,1,2,1,2,3,2,1,3,3,1,2,1,2,2,3,2,1,2,2,2,2,1,1,1,1,2,2,3,1,2,1,1,2,3,3,3,2,3,2,2,1,1,1,2,1,2,2,1,2,2,1,1,3,2,6,7,9,10,4,3,5,8,2,11,1,12,1,1933,,1,1,1,3,4,39.32,15,1,0.969479840056456,1.05445549509104,,,0.914328858408515,1.05445549509104,
1368,4,5,19,0,514,100988,34,1,0,1,1,36,1,1,0,0,2,1,1,1,18,4,1,3,1,0,0,1,3,2,7,1,3,5,7,0,3,,,,3,1,3,,1,5,5,,5,,8,1,2,3,,3,1,1,3,2,1,3,1,3,1,2,40,,90,50,30,90,,,80,2,4,2,4,2,4,4,2,,,,,,,,,2,1,1,1,1,2,2,1,,,,,,,1,2,2,1,1,5,1,1,1,5,5,1,5,5,5,,44,1,1,1,1,2,,3,,,100,60,40,75,50,60,1,3,,3,5,,2,4,2,2,2,4,2,2,4,2,4,2,4,4,4,4,2,2,2,2,2,2,5,,3,3,,,5,4,3,,,5,,5,4,5,,,,5,,,,5,,,,3,,5,,,1,,5,3,,1,1,5,1,5,3,5,5,1,1,5,1968,5,5,5,1,4111,5,1,,5,5,2,,7,1,,8,1,1,1,9,0,2,1,25,12,10,,,10,,,,4,5,19,0,514,121888,45,4,0,2,3,29,1,1,0,0,2,1,1,1,18,4,1,3,1,0,0,1,1,2,2,1,4,5,,5,,5,,5,,1,3,1,2,,,1,2,1,2,1,5,,5,,1,3,1,2,3,5,,,,1,1,1,4,3,1,25,25,75,25,25,75,,40,60,1,1,3,,1,1,3,5,1,1,2,2,4,1,4,4,2,1,1,2,2,80,100,75,75,90,75,80,90,90,100,60,,,,4,2,2,4,1,1,5,5,,5,,,,5,,,,5,,,,5,,,5,,5,,1,1,3,1,1,1,1,1,1,1,5,3,,2,8,3,2,2,1,3,1,,,3,3,5,44,1,1,1,1968,1,1,15,2,12,,,,10,,,,3264,2,2,3,1,2,2,1,1,3,2,8,2,2,2,3,4,2,2,1,8,3,3,4,4,4,1,4,3,4,4,4,2,1,8,2,2,1,1,2,8,3,1,3,2,2,2,1,2,1,2,1,8,1,1,8,2,1,2,1,2,1,8,2,3,2,2,2,1,2,2,2,2,1,2,1,1,2,1,1,1,2,2,3,1,11,12,7,1,5,6,8,9,10,2,3,4,1,1968,,1,1,1,3,4,41.82,9,1,1.70272955474856,1.4835786943473,,,1.64014509134756,1.43478254634004,
1369,4,5,19,0,514,100988,28,3,0,1,2,51,1,0,1,0,3,0,1,1,20,3,3,2,0,2,0,1,2,1,5,5,4,1,5,14,3,,,,3,1,3,,1,1,1,1,1,2,1,3,,1,2,3,5,2,3,2,1,4,5,,1,4,60,,80,30,40,80,,,,5,5,2,5,1,2,1,5,,,,,,,,,1,1,1,4,1,2,4,1,,,,,,,,,,,,,,,,,,,,,,,0,5,,5,3,,4,3,,,70,0,80,100,25,75,1,3,,3,8,,3,8,8,8,8,8,8,4,3,1,5,1,3,5,1,3,8,2,4,2,8,4,1,2,3,3,,,3,,3,,,5,,5,5,5,,,,1,2,0,,5,,,,3,,1,,,,1,1,3,,5,3,5,5,5,1,,3,5,1,5,1951,1,6,5,1,4193,5,3,1,1,5,7,,,1,,8,1,1,1,4,0,2,3,30,12,10,8,4,12,,,,4,5,19,0,514,113088,49,1,0,1,1,30,1,0,1,0,3,0,1,1,20,3,3,2,0,2,0,1,2,2,3,1,7,1,4,1,7,1,1,5,,1,3,1,1,,,1,2,1,2,1,1,3,5,,1,7,1,8,8,8,,,,1,1,1,4,4,4,49,51,75,49,51,75,,,,1,8,3,,5,8,5,5,1,2,2,1,5,2,4,2,5,2,2,2,2,50,51,50,51,47,51,50,48,52,50,42,,,,,,,,,,1,1,3,1,5,5,,5,,,,5,,,,5,,,5,,5,,1,1,1,1,1,1,1,1,1,1,5,3,,8,8,8,8,8,1,3,1,,,1,1,3,998,5,5,5,1951,1,3,30,2,12,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,2,2,44.92,12,1,1.13515303649906,0.98905246289822,,,1.09343006089839,0.956521697560038,
1370,5,5,19,0,416,101188,76,4,0,1,1,28,1,1,1,0,2,0,2,1,28,4,4,2,1,1,1,5,2,3,3,5,5,5,2,23,4,,,,3,1,2,,3,5,1,2,5,,,1,2,3,,3,1,3,4,4,8,,8,,8,,,,,50,40,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,,,,8,,,8,,,50,50,20,60,40,10,5,3,,3,3,4,4,8,8,8,2,8,8,2,3,1,3,1,3,3,3,4,8,8,8,8,8,8,5,,4,,5,,3,,1,5,,3,,,2,5,,,,5,,,,1,,1,,,,1,,,1,,5,,1,1,1,5,1,5,3,5,5,1,5,5,1952,1,4,5,1,4111,5,1,,1,5,1,1,0,1,,1,3,3,5,7,2,1,3,20,12,,,,98,,,,5,5,19,0,416,122188,29,3,0,1,3,23,1,1,1,0,2,0,2,1,28,4,4,2,1,1,1,5,4,4,4,1,7,8,,8,,1,98,8,,1,1,3,3,,,1,2,1,2,1,1,1,1,4,1,7,5,1,2,5,,,,3,3,3,2,3,3,60,40,30,75,40,20,80,30,5,1,8,,1,5,1,5,5,1,2,2,2,2,4,4,4,4,5,4,4,4,70,50,60,80,50,40,50,70,40,50,60,2,2,2,2,2,4,4,4,4,5,5,,5,,,,5,,,,5,,,,5,,,5,,5,,3,3,1,1,3,3,3,3,3,3,1,3,,8,3,3,8,3,8,2,3,,,8,8,8,998,1,1,5,1952,1,3,15,1,12,,,,12,,,,1161,1,1,3,2,1,3,3,2,2,1,8,2,2,2,8,3,2,2,4,4,4,4,1,1,1,3,8,3,4,4,2,2,1,2,1,2,1,2,1,3,2,1,2,1,2,1,1,1,8,1,2,2,2,1,2,2,1,8,2,2,1,1,1,1,1,2,1,1,1,2,2,1,2,1,8,2,1,1,1,2,8,2,2,2,7,5,8,10,4,1,9,2,3,11,6,12,5,1952,,1,1,1,3,4,41.82,9,2,1.5588034125676,1.09449679109384,,,1.47810926023015,0.990867574289685,
1371,5,5,19,0,519,101388,48,3,0,3,3,35,1,1,0,0,0,0,2,1,33,5,5,2,1,4,1,1,3,2,3,3,3,1,6,10,2,,,,2,1,3,,1,5,1,3,1,2,,1,2,3,,5,5,1,1,2,1,2,8,,1,4,10,30,75,40,55,10,35,,,4,5,4,5,4,5,4,5,4,2,4,4,2,4,5,4,1,1,1,2,1,1,1,1,5,1,2,,,,,,,1,1,5,1,1,1,1,5,5,,,,,152,1,,5,2,,,5,,5,55,35,50,55,40,30,1,1,2,3,3,4,5,3,2,3,1,3,4,3,3,1,3,1,3,3,4,4,3,3,3,3,3,3,5,,1,3,,,5,5,5,,5,3,,,5,5,,,,5,,,,5,,,,5,,1,5,,,,5,,3,1,5,5,5,5,3,5,1,3,1,5,1947,1,8,5,1,6112,5,3,5,5,5,1,1,4,1,,1,3,3,5,5,3,1,3,13,12,,,,12,,,,5,5,19,0,519,122088,23,3,0,1,3,21,1,1,0,0,0,0,2,1,33,5,5,2,1,4,1,1,2,2,2,1,4,1,1,1,4,5,,5,,1,2,3,3,,,2,1,2,1,1,5,,5,,1,4,1,2,3,5,,,,2,2,2,2,2,3,40,60,60,40,60,30,30,70,20,1,5,,3,1,5,5,5,1,4,5,2,5,2,2,4,4,1,1,2,2,80,60,80,60,50,50,60,70,60,70,60,2,1,2,2,2,2,8,8,8,5,5,,5,,,,5,,,,5,,,,5,,,5,,5,,1,3,3,3,5,3,3,1,1,5,5,3,,3,1,1,3,1,1,4,,5,,3,1,1,152,1,1,5,1947,1,3,17,1,12,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,2,2,58.78,10,2,2.33820511885139,1.64174518664076,,,2.21716389034522,1.48630136143454,
1372,5,5,19,0,705,100988,16,1,0,1,1,29,1,0,0,1,1,0,0,0,26,3,10,1,1,4,1,5,2,2,2,1,2,5,1,23,3,,,,3,1,8,2,7,,1,2,5,,,5,4,1,2,3,3,1,1,2,8,,8,,8,,40,50,45,40,50,50,,,,1,2,1,1,1,2,1,2,1,2,1,2,1,2,2,1,1,2,2,1,1,2,2,1,,,,,,,,,,,,,,,,,,,,,,,998,,,,2,,,3,,,75,50,40,70,50,60,1,1,2,3,5,,0,,,,,,,3,2,1,8,1,3,8,0,4,8,8,8,8,8,8,5,,4,,5,,3,,3,,,1,1,,2,5,,,,5,,,,3,1,,,,,1,,1,,,5,,3,1,1,5,8,5,3,1,1,5,5,5,1957,1,8,5,1,4133,5,1,,5,1,1,2,3,1,,2,3,3,5,3,3,1,1,15,4,,,,4,,,,5,5,19,0,705,121288,23,1,0,1,1,25,1,0,0,1,1,0,0,0,26,3,10,1,1,4,1,5,2,2,4,1,7,1,98,1,2,5,,1,1,1,1,5,5,,,2,1,1,2,1,5,,5,,5,,1,8,2,5,,,,2,2,3,4,3,4,65,45,998,75,60,50,,25,,1,3,,3,1,1,5,3,1,1,2,1,2,2,2,5,2,1,2,2,2,85,50,50,75,50,25,60,75,50,50,50,,,,2,8,8,,,,5,5,,5,,,,5,,,,5,,,,5,,,1,1,5,,1,3,3,1,3,1,1,1,3,3,1,5,,2,8,3,8,8,1,1,5,,,3,1,8,998,1,5,5,1957,1,1,14,1,12,1,4,,12,,,,349,1,8,2,2,8,2,1,1,1,1,3,8,2,2,3,2,8,8,2,8,2,2,3,3,3,2,3,2,3,4,3,8,8,8,2,2,1,8,3,8,1,1,8,8,1,3,8,8,8,2,2,2,1,1,1,8,3,1,1,2,1,1,2,1,8,2,8,2,8,2,1,8,1,2,1,1,8,1,2,8,8,2,2,8,3,12,9,11,8,6,7,10,2,1,4,5,5,1957,1,1,1,1,3,4,28.31,12,2,1.5588034125676,1.09449679109384,,,1.47810926023015,0.990867574289685,
1375,9,5,19,0,604,101188,17,3,0,1,1,29,1,0,1,1,3,0,1,1,8,0,10,2,0,4,1,1,2,2,3,3,3,5,6,0,3,,,,2,1,1,,7,1,1,1,1,4,,5,4,5,4,5,3,3,3,3,1,4,8,,1,1,,,,60,30,40,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,1,3,5,1,1,1,1,1,,5,5,5,,269,5,,1,2,,,5,,4,20,5,100,70,40,30,1,1,2,3,5,,3,8,3,2,1,3,3,2,5,2,4,1,4,4,4,4,2,2,1,3,2,1,5,,2,5,,,3,,3,,,3,,,2,5,,,,5,,,,1,,3,,,,1,,,,5,5,,3,1,1,5,1,1,3,5,5,1,1,5,1949,1,6,5,1,2135,5,1,,5,5,1,8,8,1,,1,3,3,5,5,2,1,3,20,12,,,,12,,,,9,5,19,0,604,10589,44,4,0,2,3,25,1,0,1,1,3,0,1,1,8,0,10,2,0,4,1,1,1,5,1,1,7,1,3,5,,5,,5,,1,1,1,1,,,3,1,1,2,1,5,,5,,1,5,5,2,3,5,,,,1,1,1,3,3,1,60,20,50,60,30,40,70,10,60,1,5,,3,1,1,1,5,1,2,2,2,2,1,4,4,2,2,2,4,1,70,70,80,60,50,40,40,60,30,55,60,2,2,2,5,2,2,1,1,2,5,5,,5,,,,5,,,,5,,,,1,1,5,5,,5,,3,3,3,3,3,1,5,1,3,3,1,3,,2,3,4,2,3,1,2,5,,,3,1,1,269,5,5,1,1949,1,3,15,1,12,,,,12,,,,1163,1,1,1,3,1,1,1,2,2,1,3,2,2,1,3,3,1,1,2,3,1,2,8,3,2,3,2,3,3,3,3,1,1,2,1,2,1,8,8,1,2,8,2,2,2,8,3,1,1,2,1,1,1,1,2,2,3,1,1,3,1,1,2,3,3,2,2,1,8,2,8,2,1,1,1,2,1,2,1,2,1,1,2,2,4,10,12,9,1,11,5,6,2,8,3,7,1,1949,1,1,1,1,3,4,52.86,5,2,0.969479840056456,1.05445549509104,,,0.914328858408515,1.05445549509104,
1386,0,5,21,0,709,100988,28,2,0,1,2,37,1,0,1,0,1,1,1,0,5,0,7,2,0,4,1,5,2,3,0,,,1,0,,,,,,4,1,2,,7,5,1,2,1,2,,3,,3,,3,3,3,3,3,1,4,1,3,8,,,,,65,59,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,5,,1,2,,1,1,,50,55,0,50,30,30,5,1,2,1,1,2,1,1,1,2,1,3,2,3,2,4,3,1,3,3,4,3,3,4,4,4,4,4,5,,4,,1,3,3,,1,1,,3,,,2,5,,,,5,,,,1,,3,,,,1,,8,,,1,,3,3,1,1,1,5,3,1,1,3,5,5,1954,1,4,5,3,8217,5,1,,5,,1,1,1,1,,1,3,3,5,2,5,1,1,10,8,12,,,8,10,,,0,5,21,0,709,120188,24,2,0,1,2,24,1,0,1,0,1,1,1,0,5,0,7,2,0,4,1,5,3,4,5,5,,5,,5,,5,,5,,1,2,5,1,,,2,1,2,1,5,1,2,5,,5,,1,2,1,5,,,,3,3,3,3,3,4,53,63,65,50,80,65,68,85,,1,8,,3,1,1,5,5,1,2,2,1,4,2,2,4,4,2,1,2,1,75,90,89,65,90,50,75,89,65,89,89,1,1,1,1,1,1,,,,5,5,,5,,,,5,,,,5,,,,5,,,5,,5,,1,1,1,3,1,1,1,1,1,1,1,5,,1,2,2,8,2,1,4,,5,,3,3,3,1,1,1,1,1954,1,1,20,1,12,10,8,,10,,,,350,1,2,2,1,2,1,1,1,1,1,1,2,2,2,4,3,3,3,2,4,2,2,3,2,3,4,3,3,3,2,2,1,2,1,2,2,1,2,2,1,1,1,2,1,1,1,1,1,1,2,1,2,1,1,2,2,3,1,2,3,1,1,2,2,3,1,2,1,1,1,8,2,2,2,1,2,1,1,2,1,1,1,2,2,8,4,9,12,3,7,10,6,5,2,1,11,5,1954,,1,1,1,3,4,20.38,15,2,0.520347049894415,0.852829477112032,1.03556376033516,,0.490745969589725,0.852829477112032,0.917706676393477
1388,4,5,21,0,514,101388,42,5,0,1,2,50,1,1,2,1,1,0,0,0,0,2,4,3,0,2,0,1,1,2,1,5,3,5,1,14,4,,,,3,1,8,3,7,,1,3,1,2,3,5,4,3,,5,1,2,2,2,5,,1,4,5,,51,48,65,60,52,60,,,,1,4,2,4,1,2,1,5,1,4,2,4,1,1,4,5,1,2,2,1,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,96,,5,,2,,,1,2,,85,58,50,78,60,5,1,3,,3,5,,2,3,3,3,3,4,3,2,4,1,2,1,5,2,2,2,4,4,4,4,5,3,1,3,4,,1,3,3,,1,1,,3,,,4,5,,,,1,1,0,,1,,,1,,,1,,1,,,5,5,,1,1,1,1,5,3,5,1,3,1,5,1958,5,5,5,1,1116,5,3,1,1,5,2,,2,1,,98,1,1,1,4,0,2,3,40,12,,,,12,,,,4,5,21,0,514,121688,55,4,0,1,1,38,1,1,2,1,1,0,0,0,0,2,4,3,0,2,0,1,2,3,4,1,7,8,,8,,5,,5,,1,2,5,2,,,1,2,1,2,1,5,,1,1,1,7,5,2,8,5,,,,2,2,2,2,3,3,55,52,55,45,65,65,50,55,40,1,8,5,,1,5,3,1,1,1,4,1,4,1,1,4,2,1,1,1,2,60,80,50,85,30,65,10,90,40,50,45,2,2,2,4,8,2,5,4,4,5,5,,5,,,,5,,,,5,,,,5,,,5,,5,,1,1,3,1,3,1,5,1,3,1,1,3,,2,2,8,2,1,5,4,,5,,3,3,3,96,1,5,1,1958,1,1,25,2,12,10,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,2,2,56.42,6,1,0.567576518249523,0.49452623144911,,,0.54671503044919,0.478260848780018,
1390,5,5,21,0,416,100988,75,2,0,1,1,67,1,1,0,0,3,1,0,1,22,4,9,5,1,3,1,1,1,1,3,1,3,8,7,21,3,,,,2,1,1,,2,1,1,1,8,,,3,,3,,3,8,1,2,2,8,,8,,8,,80,5,10,70,0,20,,,,2,1,1,1,1,1,2,5,5,5,5,5,2,5,5,5,4,5,5,4,4,8,5,5,,,,,,,,,,,,,,,,,,,,,,,998,,,,3,,5,3,,,12,10,15,10,100,20,8,1,8,3,8,,3,8,3,8,8,8,8,1,1,5,8,5,5,8,3,1,8,4,8,2,5,8,1,3,2,3,,,5,5,3,,,1,1,,8,5,,,,1,8,,,3,3,,,,,1,,,,3,5,,8,1,5,1,3,1,8,,8,8,5,5,1911,4,5,5,5,5173,1,,,5,,3,,0,1,,15,3,3,5,98,0,1,5,98,17,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,1,58.62,9,2,0.7794017062838,0.547248395546925,,,0.739054630115067,0.495433787144842,
1391,5,5,21,0,519,100988,16,1,0,1,1,73,1,1,0,0,0,0,2,0,23,2,6,1,1,4,0,1,2,2,3,5,3,5,7,10,2,,,,2,1,3,,2,1,5,,5,,,1,2,1,2,1,3,2,3,1,1,1,8,,8,,75,,85,60,40,50,75,,,1,2,1,2,2,4,1,4,,,,,,,,,1,2,2,1,1,2,1,1,2,2,2,,,,,,,1,1,5,1,1,5,1,1,,5,5,5,,0,1,,,1,2,,1,2,,90,5,5,60,10,40,1,8,,1,1,2,3,8,3,2,1,4,1,8,,,,,,,1,2,1,3,1,4,1,1,1,7,3,3,,,3,,1,1,,1,1,,3,5,,,,5,,,,1,3,,,,,5,1,,,,3,5,,1,1,1,8,1,3,5,1,5,1,5,1947,5,8,1,3,9173,1,,,1,,7,,,1,,2,3,3,1,98,0,1,1,45,12,,,,30,,,,5,5,21,0,519,10489,19,5,0,1,2,51,1,1,0,0,0,0,2,0,23,2,6,1,1,4,0,1,1,1,1,1,7,1,7,5,,5,,5,,1,3,1,1,,,2,1,1,2,1,5,,1,2,1,7,5,2,3,5,,,,1,1,1,3,4,3,90,50,50,70,30,35,30,,40,5,5,5,,1,3,5,1,1,1,2,1,1,1,5,4,4,1,1,2,2,50,90,50,90,75,50,90,50,30,50,60,4,2,2,,,,5,4,2,1,5,,5,,,,5,,,,5,,,,7,,,5,,5,,1,1,8,1,3,1,1,1,3,3,1,3,,1,3,3,3,2,1,3,3,,,3,1,1,146,1,1,5,1947,1,1,30,1,12,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,2,2,30.92,15,2,1.5588034125676,1.09449679109384,,,1.47810926023015,0.990867574289685,
